Issue,Device,OS,Solution
Weak signal,Smart TV,MacOS,Move closer to router or install a range extender
Slow internet speed,Laptop,MacOS,"Run speed test, reset router"
Device not detected,Tablet,MacOS,Forget and reconnect to network
Weak signal,Laptop,Android,Move closer to router or install a range extender
Frequent disconnections,Laptop,Windows 10,"Check router settings, reset router"
Wi-Fi not connecting,Laptop,iOS,Restart router and reconnect
Device not detected,Laptop,Android,Forget and reconnect to network
Weak signal,Tablet,iOS,Move closer to router or install a range extender
Wi-Fi not connecting,Smartphone,Windows 10,Restart router and reconnect
Wi-Fi not connecting,Laptop,iOS,Restart router and reconnect
Weak signal,Smartphone,iOS,Move closer to router or install a range extender
Wi-Fi not connecting,Smartphone,Android,Restart router and reconnect
Wi-Fi not connecting,Tablet,Android,Restart router and reconnect
Frequent disconnections,Tablet,iOS,"Check router settings, reset router"
Slow internet speed,Laptop,iOS,"Run speed test, reset router"
Device not detected,Laptop,Android,Forget and reconnect to network
Frequent disconnections,Smartphone,iOS,"Check router settings, reset router"
Frequent disconnections,Laptop,iOS,"Check router settings, reset router"
Wi-Fi not connecting,Smart TV,Windows 10,Restart router and reconnect
Wi-Fi not connecting,Tablet,Windows 10,Restart router and reconnect
Wi-Fi not connecting,Smart TV,iOS,Restart router and reconnect
Frequent disconnections,Smartphone,Windows 10,"Check router settings, reset router"
Wi-Fi not connecting,Tablet,MacOS,Restart router and reconnect
Slow internet speed,Tablet,iOS,"Run speed test, reset router"
Slow internet speed,Smart TV,Android,"Run speed test, reset router"
Frequent disconnections,Tablet,Android,"Check router settings, reset router"
Device not detected,Smart TV,Android,Forget and reconnect to network
Wi-Fi not connecting,Smartphone,Windows 10,Restart router and reconnect
Wi-Fi not connecting,Smart TV,Windows 10,Restart router and reconnect
Wi-Fi not connecting,Laptop,Windows 10,Restart router and reconnect
Slow internet speed,Tablet,Windows 10,"Run speed test, reset router"
Device not detected,Tablet,Android,Forget and reconnect to network
Slow internet speed,Tablet,MacOS,"Run speed test, reset router"
Device not detected,Tablet,Windows 10,Forget and reconnect to network
Frequent disconnections,Laptop,Android,"Check router settings, reset router"
Device not detected,Smart TV,iOS,Forget and reconnect to network
Weak signal,Smart TV,iOS,Move closer to router or install a range extender
Frequent disconnections,Laptop,iOS,"Check router settings, reset router"
Slow internet speed,Smart TV,Windows 10,"Run speed test, reset router"
Frequent disconnections,Laptop,MacOS,"Check router settings, reset router"
Weak signal,Smartphone,Windows 10,Move closer to router or install a range extender
Weak signal,Laptop,MacOS,Move closer to router or install a range extender
Slow internet speed,Smart TV,MacOS,"Run speed test, reset router"
Weak signal,Laptop,iOS,Move closer to router or install a range extender
Device not detected,Laptop,Android,Forget and reconnect to network
Weak signal,Tablet,iOS,Move closer to router or install a range extender
Weak signal,Tablet,MacOS,Move closer to router or install a range extender
Device not detected,Smartphone,Windows 10,Forget and reconnect to network
Device not detected,Tablet,Android,Forget and reconnect to network
Device not detected,Laptop,Android,Forget and reconnect to network
Device not detected,Tablet,Windows 10,Forget and reconnect to network
Weak signal,Laptop,Android,Move closer to router or install a range extender
Slow internet speed,Laptop,Windows 10,"Run speed test, reset router"
Weak signal,Laptop,iOS,Move closer to router or install a range extender
Slow internet speed,Laptop,Android,"Run speed test, reset router"
Device not detected,Smart TV,Android,Forget and reconnect to network
Weak signal,Laptop,MacOS,Move closer to router or install a range extender
Frequent disconnections,Smartphone,Windows 10,"Check router settings, reset router"
Weak signal,Smart TV,iOS,Move closer to router or install a range extender
Device not detected,Smart TV,Android,Forget and reconnect to network
Weak signal,Laptop,Android,Move closer to router or install a range extender
Weak signal,Tablet,MacOS,Move closer to router or install a range extender
Frequent disconnections,Smartphone,Windows 10,"Check router settings, reset router"
Weak signal,Smart TV,iOS,Move closer to router or install a range extender
Device not detected,Smartphone,iOS,Forget and reconnect to network
Weak signal,Tablet,MacOS,Move closer to router or install a range extender
Slow internet speed,Smart TV,Windows 10,"Run speed test, reset router"
Slow internet speed,Smartphone,Android,"Run speed test, reset router"
Slow internet speed,Tablet,MacOS,"Run speed test, reset router"
Weak signal,Smart TV,Windows 10,Move closer to router or install a range extender
Frequent disconnections,Smartphone,iOS,"Check router settings, reset router"
Wi-Fi not connecting,Laptop,Android,Restart router and reconnect
Weak signal,Smartphone,Android,Move closer to router or install a range extender
Frequent disconnections,Tablet,Android,"Check router settings, reset router"
Device not detected,Laptop,Windows 10,Forget and reconnect to network
Wi-Fi not connecting,Laptop,MacOS,Restart router and reconnect
Frequent disconnections,Smartphone,Windows 10,"Check router settings, reset router"
Frequent disconnections,Smartphone,iOS,"Check router settings, reset router"
Wi-Fi not connecting,Smartphone,Android,Restart router and reconnect
Frequent disconnections,Smartphone,Windows 10,"Check router settings, reset router"
Frequent disconnections,Smartphone,Android,"Check router settings, reset router"
Slow internet speed,Tablet,Android,"Run speed test, reset router"
Frequent disconnections,Tablet,MacOS,"Check router settings, reset router"
Weak signal,Smartphone,Windows 10,Move closer to router or install a range extender
Device not detected,Smart TV,iOS,Forget and reconnect to network
Slow internet speed,Laptop,MacOS,"Run speed test, reset router"
Frequent disconnections,Tablet,Android,"Check router settings, reset router"
Weak signal,Smart TV,Android,Move closer to router or install a range extender
Weak signal,Smartphone,Windows 10,Move closer to router or install a range extender
Slow internet speed,Smartphone,Android,"Run speed test, reset router"
Device not detected,Smartphone,MacOS,Forget and reconnect to network
Wi-Fi not connecting,Smartphone,iOS,Restart router and reconnect
Weak signal,Laptop,Android,Move closer to router or install a range extender
Weak signal,Smartphone,iOS,Move closer to router or install a range extender
Slow internet speed,Laptop,Windows 10,"Run speed test, reset router"
Wi-Fi not connecting,Laptop,Windows 10,Restart router and reconnect
Device not detected,Smart TV,Windows 10,Forget and reconnect to network
Frequent disconnections,Smartphone,iOS,"Check router settings, reset router"
Wi-Fi not connecting,Laptop,MacOS,Restart router and reconnect
Wi-Fi not connecting,Smartphone,Windows 10,Restart router and reconnect
Weak signal,Laptop,Windows 10,Move closer to router or install a range extender
Weak signal,Smartphone,MacOS,Move closer to router or install a range extender
Slow internet speed,Laptop,iOS,"Run speed test, reset router"
Device not detected,Laptop,iOS,Forget and reconnect to network
Weak signal,Tablet,Android,Move closer to router or install a range extender
Frequent disconnections,Laptop,Windows 10,"Check router settings, reset router"
Device not detected,Smart TV,iOS,Forget and reconnect to network
Wi-Fi not connecting,Smartphone,iOS,Restart router and reconnect
Frequent disconnections,Smartphone,MacOS,"Check router settings, reset router"
Wi-Fi not connecting,Smart TV,iOS,Restart router and reconnect
Wi-Fi not connecting,Smart TV,Android,Restart router and reconnect
Slow internet speed,Smart TV,MacOS,"Run speed test, reset router"
Weak signal,Smartphone,Windows 10,Move closer to router or install a range extender
Weak signal,Smart TV,MacOS,Move closer to router or install a range extender
Device not detected,Smartphone,Android,Forget and reconnect to network
Device not detected,Smartphone,Windows 10,Forget and reconnect to network
Frequent disconnections,Smartphone,iOS,"Check router settings, reset router"
Wi-Fi not connecting,Smart TV,iOS,Restart router and reconnect
Device not detected,Smart TV,Android,Forget and reconnect to network
Frequent disconnections,Laptop,iOS,"Check router settings, reset router"
Wi-Fi not connecting,Tablet,iOS,Restart router and reconnect
Weak signal,Tablet,iOS,Move closer to router or install a range extender
Device not detected,Smartphone,MacOS,Forget and reconnect to network
Wi-Fi not connecting,Laptop,iOS,Restart router and reconnect
Wi-Fi not connecting,Laptop,MacOS,Restart router and reconnect
Slow internet speed,Smart TV,Windows 10,"Run speed test, reset router"
Weak signal,Laptop,Android,Move closer to router or install a range extender
Frequent disconnections,Tablet,iOS,"Check router settings, reset router"
Frequent disconnections,Tablet,Android,"Check router settings, reset router"
Weak signal,Smart TV,iOS,Move closer to router or install a range extender
Frequent disconnections,Tablet,Windows 10,"Check router settings, reset router"
Slow internet speed,Smart TV,Windows 10,"Run speed test, reset router"
Wi-Fi not connecting,Tablet,MacOS,Restart router and reconnect
Frequent disconnections,Tablet,Windows 10,"Check router settings, reset router"
Wi-Fi not connecting,Smartphone,MacOS,Restart router and reconnect
Weak signal,Tablet,Windows 10,Move closer to router or install a range extender
Frequent disconnections,Smart TV,Windows 10,"Check router settings, reset router"
Wi-Fi not connecting,Tablet,iOS,Restart router and reconnect
Weak signal,Laptop,Windows 10,Move closer to router or install a range extender
Device not detected,Laptop,Windows 10,Forget and reconnect to network
Wi-Fi not connecting,Smartphone,MacOS,Restart router and reconnect
Slow internet speed,Smartphone,Android,"Run speed test, reset router"
Device not detected,Smartphone,MacOS,Forget and reconnect to network
Weak signal,Smartphone,iOS,Move closer to router or install a range extender
Wi-Fi not connecting,Smart TV,MacOS,Restart router and reconnect
Wi-Fi not connecting,Smart TV,iOS,Restart router and reconnect
Frequent disconnections,Laptop,MacOS,"Check router settings, reset router"
Slow internet speed,Smart TV,Android,"Run speed test, reset router"
Device not detected,Smart TV,Android,Forget and reconnect to network
Wi-Fi not connecting,Laptop,Android,Restart router and reconnect
Weak signal,Smartphone,Android,Move closer to router or install a range extender
Slow internet speed,Smartphone,Android,"Run speed test, reset router"
Frequent disconnections,Tablet,MacOS,"Check router settings, reset router"
Device not detected,Smartphone,Android,Forget and reconnect to network
Frequent disconnections,Smart TV,iOS,"Check router settings, reset router"
Slow internet speed,Laptop,MacOS,"Run speed test, reset router"
Weak signal,Tablet,Windows 10,Move closer to router or install a range extender
Weak signal,Smart TV,Android,Move closer to router or install a range extender
Frequent disconnections,Smart TV,Android,"Check router settings, reset router"
Device not detected,Smartphone,Android,Forget and reconnect to network
Wi-Fi not connecting,Laptop,iOS,Restart router and reconnect
Frequent disconnections,Smartphone,iOS,"Check router settings, reset router"
Wi-Fi not connecting,Tablet,iOS,Restart router and reconnect
Weak signal,Laptop,MacOS,Move closer to router or install a range extender
Slow internet speed,Smart TV,Android,"Run speed test, reset router"
Wi-Fi not connecting,Laptop,Windows 10,Restart router and reconnect
Frequent disconnections,Smartphone,iOS,"Check router settings, reset router"
Device not detected,Tablet,Android,Forget and reconnect to network
Slow internet speed,Smart TV,Android,"Run speed test, reset router"
Frequent disconnections,Smart TV,Android,"Check router settings, reset router"
Wi-Fi not connecting,Laptop,Windows 10,Restart router and reconnect
Slow internet speed,Smart TV,Android,"Run speed test, reset router"
Device not detected,Laptop,Windows 10,Forget and reconnect to network
Frequent disconnections,Laptop,Windows 10,"Check router settings, reset router"
Wi-Fi not connecting,Smartphone,Android,Restart router and reconnect
Weak signal,Smartphone,Android,Move closer to router or install a range extender
Weak signal,Laptop,MacOS,Move closer to router or install a range extender
Wi-Fi not connecting,Laptop,MacOS,Restart router and reconnect
Frequent disconnections,Laptop,MacOS,"Check router settings, reset router"
Device not detected,Smartphone,Android,Forget and reconnect to network
Wi-Fi not connecting,Laptop,iOS,Restart router and reconnect
Wi-Fi not connecting,Smartphone,iOS,Restart router and reconnect
Weak signal,Tablet,iOS,Move closer to router or install a range extender
Weak signal,Smartphone,MacOS,Move closer to router or install a range extender
Wi-Fi not connecting,Tablet,iOS,Restart router and reconnect
Slow internet speed,Tablet,MacOS,"Run speed test, reset router"
Slow internet speed,Smartphone,Windows 10,"Run speed test, reset router"
Frequent disconnections,Tablet,iOS,"Check router settings, reset router"
Frequent disconnections,Laptop,Android,"Check router settings, reset router"
Device not detected,Tablet,MacOS,Forget and reconnect to network
Device not detected,Tablet,iOS,Forget and reconnect to network
Slow internet speed,Smartphone,Android,"Run speed test, reset router"
Device not detected,Laptop,Windows 10,Forget and reconnect to network
Weak signal,Smartphone,iOS,Move closer to router or install a range extender
Slow internet speed,Tablet,iOS,"Run speed test, reset router"
Wi-Fi not connecting,Smart TV,iOS,Restart router and reconnect
Weak signal,Smartphone,Windows 10,Move closer to router or install a range extender
Wi-Fi not connecting,Laptop,Windows 10,Restart router and reconnect
Device not detected,Smartphone,Android,Forget and reconnect to network
Wi-Fi not connecting,Smart TV,Android,Restart router and reconnect
Slow internet speed,Tablet,iOS,"Run speed test, reset router"
Wi-Fi not connecting,Laptop,iOS,Restart router and reconnect
Slow internet speed,Tablet,Windows 10,"Run speed test, reset router"
Weak signal,Tablet,Android,Move closer to router or install a range extender
Frequent disconnections,Smart TV,Windows 10,"Check router settings, reset router"
Slow internet speed,Tablet,Android,"Run speed test, reset router"
Slow internet speed,Tablet,MacOS,"Run speed test, reset router"
Wi-Fi not connecting,Tablet,Android,Restart router and reconnect
Slow internet speed,Laptop,iOS,"Run speed test, reset router"
Device not detected,Tablet,iOS,Forget and reconnect to network
Wi-Fi not connecting,Smart TV,iOS,Restart router and reconnect
Wi-Fi not connecting,Tablet,MacOS,Restart router and reconnect
Frequent disconnections,Smartphone,Windows 10,"Check router settings, reset router"
Device not detected,Smartphone,Windows 10,Forget and reconnect to network
Slow internet speed,Laptop,MacOS,"Run speed test, reset router"
Frequent disconnections,Laptop,Android,"Check router settings, reset router"
Weak signal,Smartphone,iOS,Move closer to router or install a range extender
Frequent disconnections,Tablet,Windows 10,"Check router settings, reset router"
Frequent disconnections,Tablet,Windows 10,"Check router settings, reset router"
Weak signal,Tablet,MacOS,Move closer to router or install a range extender
Frequent disconnections,Smartphone,Windows 10,"Check router settings, reset router"
Device not detected,Tablet,Android,Forget and reconnect to network
Frequent disconnections,Laptop,Windows 10,"Check router settings, reset router"
Weak signal,Tablet,Android,Move closer to router or install a range extender
Device not detected,Smart TV,MacOS,Forget and reconnect to network
Weak signal,Laptop,iOS,Move closer to router or install a range extender
Weak signal,Smartphone,Android,Move closer to router or install a range extender
Device not detected,Smartphone,MacOS,Forget and reconnect to network
Wi-Fi not connecting,Smart TV,iOS,Restart router and reconnect
Device not detected,Laptop,MacOS,Forget and reconnect to network
Frequent disconnections,Smartphone,Android,"Check router settings, reset router"
Wi-Fi not connecting,Smartphone,MacOS,Restart router and reconnect
Frequent disconnections,Tablet,Android,"Check router settings, reset router"
Weak signal,Tablet,Windows 10,Move closer to router or install a range extender
Wi-Fi not connecting,Tablet,MacOS,Restart router and reconnect
Weak signal,Laptop,Windows 10,Move closer to router or install a range extender
Device not detected,Smartphone,MacOS,Forget and reconnect to network
Wi-Fi not connecting,Smart TV,Android,Restart router and reconnect
Slow internet speed,Smart TV,Windows 10,"Run speed test, reset router"
Weak signal,Laptop,Windows 10,Move closer to router or install a range extender
Device not detected,Smartphone,MacOS,Forget and reconnect to network
Device not detected,Laptop,Windows 10,Forget and reconnect to network
Slow internet speed,Smartphone,MacOS,"Run speed test, reset router"
Weak signal,Tablet,iOS,Move closer to router or install a range extender
Frequent disconnections,Laptop,MacOS,"Check router settings, reset router"
Frequent disconnections,Smart TV,Windows 10,"Check router settings, reset router"
Slow internet speed,Tablet,iOS,"Run speed test, reset router"
Frequent disconnections,Smartphone,Android,"Check router settings, reset router"
Slow internet speed,Smartphone,iOS,"Run speed test, reset router"
Wi-Fi not connecting,Laptop,Android,Restart router and reconnect
Weak signal,Laptop,iOS,Move closer to router or install a range extender
Device not detected,Tablet,iOS,Forget and reconnect to network
Slow internet speed,Smart TV,iOS,"Run speed test, reset router"
Slow internet speed,Tablet,MacOS,"Run speed test, reset router"
Weak signal,Smartphone,Windows 10,Move closer to router or install a range extender
Slow internet speed,Tablet,MacOS,"Run speed test, reset router"
Weak signal,Tablet,MacOS,Move closer to router or install a range extender
Wi-Fi not connecting,Tablet,Windows 10,Restart router and reconnect
Wi-Fi not connecting,Smart TV,MacOS,Restart router and reconnect
Weak signal,Tablet,Windows 10,Move closer to router or install a range extender
Frequent disconnections,Smartphone,Android,"Check router settings, reset router"
Device not detected,Smart TV,Android,Forget and reconnect to network
Frequent disconnections,Tablet,Windows 10,"Check router settings, reset router"
Weak signal,Tablet,Android,Move closer to router or install a range extender
Device not detected,Tablet,iOS,Forget and reconnect to network
Frequent disconnections,Smartphone,iOS,"Check router settings, reset router"
Slow internet speed,Smartphone,Windows 10,"Run speed test, reset router"
Wi-Fi not connecting,Smartphone,Android,Restart router and reconnect
Slow internet speed,Tablet,Windows 10,"Run speed test, reset router"
Slow internet speed,Laptop,MacOS,"Run speed test, reset router"
Device not detected,Smart TV,iOS,Forget and reconnect to network
Weak signal,Smart TV,iOS,Move closer to router or install a range extender
Device not detected,Tablet,Android,Forget and reconnect to network
Slow internet speed,Smartphone,Windows 10,"Run speed test, reset router"
Device not detected,Smart TV,MacOS,Forget and reconnect to network
Slow internet speed,Smart TV,Android,"Run speed test, reset router"
Weak signal,Smart TV,Android,Move closer to router or install a range extender
Wi-Fi not connecting,Laptop,iOS,Restart router and reconnect
Slow internet speed,Tablet,Windows 10,"Run speed test, reset router"
Slow internet speed,Smart TV,Windows 10,"Run speed test, reset router"
Device not detected,Tablet,Android,Forget and reconnect to network
Slow internet speed,Laptop,Windows 10,"Run speed test, reset router"
Device not detected,Laptop,Windows 10,Forget and reconnect to network
Device not detected,Smart TV,Windows 10,Forget and reconnect to network
Weak signal,Tablet,MacOS,Move closer to router or install a range extender
Slow internet speed,Tablet,MacOS,"Run speed test, reset router"
Frequent disconnections,Tablet,Windows 10,"Check router settings, reset router"
Frequent disconnections,Tablet,iOS,"Check router settings, reset router"
Wi-Fi not connecting,Smart TV,iOS,Restart router and reconnect
Weak signal,Smart TV,MacOS,Move closer to router or install a range extender
Device not detected,Tablet,MacOS,Forget and reconnect to network
Weak signal,Tablet,Windows 10,Move closer to router or install a range extender
Slow internet speed,Laptop,Android,"Run speed test, reset router"
Frequent disconnections,Laptop,Android,"Check router settings, reset router"
Slow internet speed,Tablet,Windows 10,"Run speed test, reset router"
Wi-Fi not connecting,Laptop,Windows 10,Restart router and reconnect
Slow internet speed,Smartphone,MacOS,"Run speed test, reset router"
Frequent disconnections,Smartphone,Android,"Check router settings, reset router"
Frequent disconnections,Smartphone,MacOS,"Check router settings, reset router"
Weak signal,Smart TV,iOS,Move closer to router or install a range extender
Frequent disconnections,Laptop,Windows 10,"Check router settings, reset router"
Device not detected,Smart TV,iOS,Forget and reconnect to network
Frequent disconnections,Smartphone,MacOS,"Check router settings, reset router"
Weak signal,Laptop,iOS,Move closer to router or install a range extender
Frequent disconnections,Smartphone,iOS,"Check router settings, reset router"
Frequent disconnections,Smartphone,Android,"Check router settings, reset router"
Frequent disconnections,Laptop,Windows 10,"Check router settings, reset router"
Slow internet speed,Smart TV,Windows 10,"Run speed test, reset router"
Slow internet speed,Laptop,Android,"Run speed test, reset router"
Wi-Fi not connecting,Tablet,Android,Restart router and reconnect
Weak signal,Laptop,iOS,Move closer to router or install a range extender
Device not detected,Smartphone,iOS,Forget and reconnect to network
Frequent disconnections,Laptop,Windows 10,"Check router settings, reset router"
Slow internet speed,Smartphone,MacOS,"Run speed test, reset router"
Frequent disconnections,Tablet,Android,"Check router settings, reset router"
Weak signal,Tablet,Android,Move closer to router or install a range extender
Wi-Fi not connecting,Smartphone,iOS,Restart router and reconnect
Frequent disconnections,Smart TV,iOS,"Check router settings, reset router"
Weak signal,Tablet,Android,Move closer to router or install a range extender
Frequent disconnections,Tablet,Windows 10,"Check router settings, reset router"
Frequent disconnections,Smart TV,iOS,"Check router settings, reset router"
Wi-Fi not connecting,Smart TV,MacOS,Restart router and reconnect
Frequent disconnections,Tablet,MacOS,"Check router settings, reset router"
Wi-Fi not connecting,Smartphone,MacOS,Restart router and reconnect
Wi-Fi not connecting,Smartphone,Windows 10,Restart router and reconnect
Device not detected,Laptop,iOS,Forget and reconnect to network
Wi-Fi not connecting,Tablet,Android,Restart router and reconnect
Weak signal,Smart TV,Windows 10,Move closer to router or install a range extender
Frequent disconnections,Laptop,Android,"Check router settings, reset router"
Device not detected,Smartphone,Android,Forget and reconnect to network
Frequent disconnections,Tablet,Android,"Check router settings, reset router"
Wi-Fi not connecting,Laptop,Windows 10,Restart router and reconnect
